AFiDs_line,Annotation figure IDs file name,common_database_double-checked file name 
278,27-0_5-20220530T074538.pcd_280230175.pcd,50-27-0_5-20220530T074538.pcd
285,27-0_5-20220601T033109.pcd_280230177.pcd,50-27-0_5-20220601T033109.pcd
292,27-0_5-20220602T052138.pcd_280230178.pcd,50-27-0_5-20220602T052138.pcd
337,27-1_2-20220531T042054.pcd_280230192.pcd,50-27-1_2-20220531T042054.pcd
345,27-1_2-20220601T033109.pcd_280230193.pcd,50-27-1_2-20220601T033109.pcd
357,27-1_8-20220601T033109.pcd_280230209.pcd,50-27-1_8-20220601T033109.pcd
394,50-27-0_0-20220527T045102.pcd_293814105.pcd,50-27-0_0-20220527T045102.pcd
508,50-27-0_10-20220523T042520.pcd_293814158.pcd,50-27-0_10-20220523T042520.pcd
523,50-27-0_10-20220524T041419.pcd_293814155.pcd,50-27-0_10-20220524T041419.pcd
539,50-27-0_10-20220525T030449.pcd_293814136.pcd,50-27-0_10-20220525T030449.pcd
555,50-27-0_10-20220527T045102.pcd_293814105.pcd,50-27-0_10-20220527T045102.pcd
471,50-27-0_1-20220527T045102.pcd_293814134.pcd,50-27-0_1-20220527T045102.pcd
662,50-27-0_6-20220524T041419.pcd_293814069.pcd,50-27-0_6-20220524T041419.pcd
1205,50-27-1_6-20220525T030449.pcd_293814056.pcd,50-27-1_6-20220525T030449.pcd
1230,50-27-1_6-20220530T074538.pcd_293814057.pcd,50-27-1_6-20220530T074538.pcd
1238,50-27-1_6-20220601T033109.pcd_293814072.pcd,50-27-1_6-20220601T033109.pcd
1242,50-27-1_6-20220602T052138.pcd_293814089.pcd,50-27-1_6-20220602T052138.pcd
3791,Labeling_3 - Andrea_97_20220701T081025-1_1.pcd_258863797.pcd,51-97-1_1-20220701T081025.pcd
3797,Labeling_3 - Andrea_97_20220702T053351-1_1.pcd_258863822.pcd,51-97-1_1-20220702T053351.pcd
3803,Labeling_3 - Andrea_97_20220704T034007-1_1.pcd_258865687.pcd,51-97-1_1-20220704T034007.pcd
3816,Labeling_3 - Krithika_97_20220702T053351-0_9.pcd_258867370.pcd,51-97-0_9-20220702T053351.pcd
3818,Labeling_3 - Krithika_97_20220705T054818-0_9.pcd_259636816.pcd,51-97-0_9-20220705T054818.pcd
3827,Labeling_3 - Priyanka_97_20220702T053351-0_1.pcd_258867373.pcd,51-97-0_1-20220702T053351.pcd
3832,Labeling_3 - Priyanka_97_20220704T034007-0_1.pcd_259636818.pcd,51-97-0_1-20220704T034007.pcd
3845,Labeling_3 - Rekha_97_20220704T034007-1_9.pcd_258867376.pcd,51-97-1_9-20220704T034007.pcd
3849,Labeling_3 - Rekha_97_20220705T054818-1_9.pcd_260815155.pcd,51-97-1_9-20220705T054818.pcd
3865,Labeling_5 - Krithika_97_20220701T081025-0_3.pcd_264493330.pcd,51-97-0_3-20220701T081025.pcd
3867,Labeling_5 - Krithika_97_20220702T053351-0_3.pcd_264493331.pcd,51-97-0_3-20220702T053351.pcd
3869,Labeling_5 - Krithika_97_20220704T034007-0_3.pcd_264493332.pcd,51-97-0_3-20220704T034007.pcd
