pcd_file_name,sample_points,sample_points_not_labeled,sample_objects_count,sample_organs_count,sample_plants_count,SPOI
51-97-0_9-20220706T054932.pcd,28079,7450,13,13,2,0.0337672466692718
51-97-0_1-20220701T081025.pcd,14506,314,21,21,5,0.0
51-97-0_1-20220702T053351.pcd,19575,354,24,24,5,0.0
51-97-0_1-20220704T034007.pcd,29610,1163,31,31,5,0.2474438742780906
51-97-1_9-20220701T081025.pcd,9623,121,14,14,4,0.0
51-97-1_9-20220702T053351.pcd,12879,289,15,15,4,0.0
51-97-1_9-20220704T034007.pcd,20314,780,19,19,4,0.0083388847949551
51-97-1_9-20220705T054818.pcd,26923,1867,4,0,4,0.0020612735982147
51-97-1_9-20220706T054932.pcd,28581,3455,20,20,4,0.161515717619749
51-97-0_6-20220701T081025.pcd,10951,186,2,0,2,0.0
51-97-0_6-20220702T053351.pcd,13036,833,2,0,2,0.0
51-97-0_6-20220704T034007.pcd,16777,1442,2,0,2,0.0161775723540987
51-97-0_6-20220706T054932.pcd,25063,2970,2,0,2,0.0429747713855819
51-97-0_3-20220701T081025.pcd,6979,50,2,0,2,0.0
51-97-0_3-20220702T053351.pcd,9824,516,2,0,2,0.0
51-97-0_3-20220704T034007.pcd,14742,1614,2,0,2,0.0
51-97-0_3-20220705T054818.pcd,18470,2342,2,0,2,0.0
51-97-0_3-20220706T054932.pcd,23928,4053,2,0,2,0.006536072084146
51-97-0_3-20220707T045320.pcd,29869,6478,2,0,2,0.0097252201985625
51-97-0_3-20220708T032429.pcd,37188,8650,2,0,2,0.0293320900998536
51-97-0_3-20220708T092902.pcd,35568,7470,2,0,2,0.0304987190273122
51-97-0_3-20220709T034019.pcd,36195,9502,9,9,2,0.0406763802466065
51-97-0_0-20220701T081025.pcd,5663,107,9,9,2,0.0
51-97-0_0-20220702T053351.pcd,7609,257,9,9,2,0.0
51-97-0_0-20220704T034007.pcd,10199,495,11,11,2,0.0
51-97-0_0-20220706T054932.pcd,15620,630,15,15,2,0.0
51-97-0_0-20220707T045320.pcd,21218,729,18,18,2,0.0
51-97-0_0-20220708T092902.pcd,27173,1188,21,21,2,0.0168981579263658
51-97-1_0-20220701T081025.pcd,9229,109,4,0,4,0.0
51-97-1_0-20220702T053351.pcd,11190,137,4,0,4,0.0
51-97-1_0-20220704T034007.pcd,17067,219,4,0,4,0.0
51-97-1_0-20220705T054818.pcd,26570,95,4,0,4,0.0
51-97-1_0-20220706T054932.pcd,29266,237,4,0,4,0.0
51-97-1_0-20220707T045320.pcd,35648,262,4,0,4,0.0854042429761182
51-97-1_0-20220709T034019.pcd,32967,89,4,0,4,0.0683537356203867
51-97-1_0-20220709T095212.pcd,36831,152,25,25,4,0.0833335661764816
51-97-0_7-20220701T081025.pcd,23815,410,24,23,5,0.0193728501973021
51-97-0_7-20220702T053351.pcd,30343,904,21,19,5,0.213070464530954
51-97-0_7-20220704T034007.pcd,34235,1117,14,12,5,0.2617524064728653
51-97-0_7-20220705T054818.pcd,40826,666,14,11,5,0.3710571589098468
51-97-1_6-20220701T081025.pcd,22661,548,4,0,4,0.0
51-97-1_6-20220702T053351.pcd,25085,611,4,0,4,0.116235896826848
51-97-1_6-20220704T034007.pcd,22111,1177,3,0,3,0.1763557710454242
51-97-1_6-20220705T054818.pcd,29136,2971,3,0,3,0.1115344895667182
51-97-1_0-20220710T031209.pcd,37627,88,4,0,4,0.2520084354669583
51-97-1_0-20220711T030647.pcd,42043,141,13,10,4,0.3249784795438034
50-27-0_8-20220602T052138.pcd,47509,248,7,0,7,0.3730484326458858
50-27-0_9-20220602T052138.pcd,10857,97,2,0,2,0.0
59-79-1_10-20230801T090222.pcd,22765,1456,8,0,8,0.4809982108364274
59-79-1_10-20230802T034543.pcd,27127,1481,8,0,8,0.4595957960531375
59-79-1_10-20230802T082140.pcd,25020,732,8,0,8,0.4459014580993917
59-79-1_10-20230803T051109.pcd,27548,972,8,0,8,0.416920304741283
59-79-1_10-20230803T082206.pcd,32194,2997,8,0,8,0.5380365376386033
59-79-1_10-20230804T040520.pcd,38150,5328,8,0,8,0.581939800359158
59-79-1_10-20230804T083131.pcd,35467,2931,8,0,8,0.7344857502428602
59-79-1_10-20230805T085523.pcd,39067,3511,8,0,8,0.800550310650129
59-79-1_10-20230807T050152.pcd,37065,9981,4,0,4,0.0516729314026506
59-79-1_10-20230807T081832.pcd,40009,10807,4,0,3,0.0
59-79-1_10-20230808T041812.pcd,44964,8743,4,0,4,0.0783576252406168
59-79-1_10-20230808T084305.pcd,43477,9210,4,0,4,0.0726751911156159
59-79-1_11-20230729T054442.pcd,19099,544,9,0,9,0.7903582535622807
59-79-1_11-20230731T063312.pcd,25514,1783,8,0,8,0.6369909527207944
59-79-1_11-20230801T090222.pcd,26375,369,8,0,8,0.8394483624727206
59-79-1_11-20230802T034543.pcd,32172,516,8,0,8,0.7659708618783154
59-79-1_11-20230802T082140.pcd,30044,344,8,0,8,0.7525195767160491
59-79-1_11-20230803T051109.pcd,33790,351,8,0,8,1.041215546473015
59-79-1_11-20230803T082206.pcd,34805,464,8,0,8,0.974142956032624
59-79-1_11-20230804T040520.pcd,34962,349,8,0,8,1.023661070658816
59-79-1_11-20230804T083131.pcd,36720,605,8,0,8,1.2200394023339831
59-79-1_9-20230729T054442.pcd,30528,675,12,0,12,1.4056115896271342
59-79-1_9-20230803T051109.pcd,44001,1993,8,0,8,0.9764987628986804
